,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,projectrank_placing,license,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,trending,maven_id,maven_url
625,Torch-Struct,harvardnlp/pytorch-struct,pytorch-utils,,{},16.0,,3,False,torch-struct,,,,['pytorch'],,,https://pypi.org/project/torch-struct,4427.0,4427.0,,,,,,,,,,,,3.0,,,,,,,,,,,
626,TF Compression,tensorflow/compression,tensorflow-utils,,{},26.0,,3,False,tensorflow-compression,,,,['tensorflow'],,,https://pypi.org/project/tensorflow-compression,902.0,902.0,,,,,,,,,,,,3.0,,,,,,,,,,,
627,DESlib,scikit-learn-contrib/DESlib,sklearn-utils,,{},18.0,,3,False,deslib,,,,['sklearn'],,,https://pypi.org/project/deslib,1666.0,1666.0,,,,,,,,,,,,3.0,,,,,,,,,,,
628,Towhee,towhee-io/towhee,others,,{},38.0,,3,False,towhee,,,,,,,https://pypi.org/project/towhee,1059.0,1059.0,,,,,,,,,,,,3.0,,,,,,,,,,,
629,rrcf,kLabUM/rrcf,others,,{},7.0,,3,False,rrcf,,,,,107.0,107.0,https://pypi.org/project/rrcf,,,,,,,,,,,,,,3.0,,,,,,,,,,,
630,Brainiak,brainiak/brainiak,medical-data,,{},37.0,,2,False,brainiak,,brainiak/brainiak,,,,,https://pypi.org/project/brainiak,866.0,866.0,,,,2025-01-07 00:51:13.258034,,,https://hub.docker.com/r/brainiak/brainiak,2025-01-07 00:51:13.258034,1.0,1.0,2895.0,3.0,,,,,,,,,,,
631,awesome-datascience,academic/awesome-datascience,data-science,,{},339.0,,2,False,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
632,awesome-semantic-segmentation,mrgloom/awesome-semantic-segmentation,data-science,,{},16.0,,2,False,,,,,,23.0,23.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
633,Awesome-LLMOps,tensorchord/Awesome-LLMOps,data-science,,{},150.0,,2,False,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
634,awesome-public-datasets,awesomedata/awesome-public-datasets,data-science,,{},167.0,,2,False,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
635,larq,larq/larq,ml-frameworks,,{},20.0,,2,False,larq,,,,['tensorflow'],,,https://pypi.org/project/larq,702.0,702.0,,,,,,,,,,,,3.0,,,,,,,,,,,
636,runhouse,run-house/runhouse,ml-frameworks,,{},20.0,,2,False,runhouse,,,,,,,https://pypi.org/project/runhouse,405.0,405.0,,,,,,,,,,,,3.0,,,,,,,,,,,
637,nebuly,nebuly-ai/nebuly,nlp,,{},,,2,False,nebuly,,,,,,,https://pypi.org/project/nebuly,178.0,178.0,,,,,,,,,,,,3.0,,,,,,,,,,,
638,lightseq,bytedance/lightseq,nlp,,{},19.0,,2,False,lightseq,,,,,,,https://pypi.org/project/lightseq,477.0,477.0,,,,,,,,,,,,3.0,,,,,,,,,,,
639,vissl,facebookresearch/vissl,image,,{},38.0,,2,False,vissl,,,,['pytorch'],,,https://pypi.org/project/vissl,52.0,52.0,,,,,,,,,,,,3.0,,,,,,,,,,,
640,nude.py,hhatto/nude.py,image,,{},12.0,,2,False,nudepy,,,,,,,https://pypi.org/project/nudepy,277.0,277.0,,,,,,,,,,,,3.0,,,,,,,,,,,
641,CausalNex,quantumblacklabs/causalnex,interpretability,,{},,,2,False,causalnex,,,,"['pytorch', 'sklearn']",,,https://pypi.org/project/causalnex,,,,,,,,,,,,,,3.0,Apache-2.0,,,,,,,,,,
642,FlashTorch,MisaOgura/flashtorch,interpretability,,{},2.0,,2,False,flashtorch,,,,['pytorch'],23.0,23.0,https://pypi.org/project/flashtorch,141.0,141.0,,,,,,,,,,,,3.0,,,,,,,,,,,
643,bias-detector,intuit/bias-detector,interpretability,,{},4.0,,2,False,bias-detector,,,,,4.0,4.0,https://pypi.org/project/bias-detector,65.0,65.0,,,,,,,,,,,,3.0,,,,,,,,,,,
644,ExplainX.ai,explainX/explainx,interpretability,,{},6.0,,2,False,explainx,,,,,7.0,7.0,https://pypi.org/project/explainx,26.0,26.0,,,,,,,,,,,,3.0,,,,,,,,,,,
645,graph4nlp,graph4ai/graph4nlp,graph,,{},29.0,,2,False,graph4nlp,,,,['pytorch'],,,https://pypi.org/project/graph4nlp,54.0,54.0,,,,,,,,,,,,3.0,,,,,,,,,,,
