,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,projectrank_placing,license,npm_id,npm_url,npm_monthly_downloads,helm_id,trending,brew_id,apt_id,yum_id,maven_id,maven_url
574,ecco,jalammar/ecco,interpretability,,{},12.0,Visualization tools for NLP machine learning models.,4,False,ecco,conda-forge/ecco,,,['pytorch'],,,https://pypi.org/project/ecco,246.0,412.0,https://anaconda.org/conda-forge/ecco,2021-12-30 22:13:55.932,2025-04-22 14:58:08.015,2025-04-22 14:58:08.015000,9311.0,3.0,,,,,,3.0,,,,,,,,,,,
575,pytorch_geometric_temporal,benedekrozemberczki/pytorch_geometric_temporal,graph,,{},40.0,,4,False,torch-geometric-temporal,,,,['pytorch'],,,https://pypi.org/project/torch-geometric-temporal,2796.0,2796.0,,,,,,,,,,,,3.0,,,,,,,,,,,
576,Test Tube,williamFalcon/test-tube,hyperopt,,{},16.0,,4,False,test_tube,,,,,,,https://pypi.org/project/test_tube,20595.0,20595.0,,,,,,,,,,,,3.0,,,,,,,,,,,
577,rliable,google-research/rliable,reinforcement-learning,,{},9.0,,4,False,rliable,,,,,,,https://pypi.org/project/rliable,9210.0,9210.0,,,,,,,,,,,,3.0,,,,,,,,,,,
578,TensorLayerx,tensorlayer/tensorlayerx,reinforcement-learning,,{},13.0,,4,False,tensorlayerx,,,,['tensorflow'],31.0,31.0,https://pypi.org/project/tensorlayerx,355.0,355.0,,,,,,,,,,,,3.0,,,,,,,,,,,
579,BigDL,intel-analytics/BigDL,distributed-ml,,{},125.0,,4,False,bigdl,,,,,,,https://pypi.org/project/bigdl,1544.0,1544.0,,,,,,,,,,,,3.0,,,,,,,,,,com.intel.analytics.bigdl:bigdl-SPARK_2.4,https://search.maven.org/artifact/com.intel.analytics.bigdl/bigdl-SPARK_2.4
580,BytePS,bytedance/byteps,distributed-ml,,{},21.0,,4,False,byteps,,bytepsimage/tensorflow,,,,,https://pypi.org/project/byteps,83.0,83.0,,,,2020-03-03 02:33:23.358610,,,https://hub.docker.com/r/bytepsimage/tensorflow,2020-03-03 02:33:23.358610,,,2166.0,3.0,Apache-2.0,,,,,,,,,,
581,parallelformers,tunib-ai/parallelformers,distributed-ml,,{},5.0,,4,False,parallelformers,,,,,75.0,75.0,https://pypi.org/project/parallelformers,60.0,60.0,,,,,,,,,,,,3.0,,,,,,,,,,,
582,launchpad,deepmind/launchpad,distributed-ml,,{},28.0,,4,False,dm-launchpad,,,,['tensorflow'],,,https://pypi.org/project/dm-launchpad,1206.0,1206.0,,,,,,,,,,,,3.0,,,,,,,,,,,
583,pytorch_tabular,manujosephv/pytorch_tabular,tabular,,{},29.0,,4,False,pytorch_tabular,,,,['pytorch'],,,https://pypi.org/project/pytorch_tabular,7404.0,7404.0,,,,,,,,,,,,3.0,,,,,,,,,,,
584,NGT,yahoojapan/NGT,nn-search,,{},22.0,,4,False,ngt,,,,,,,https://pypi.org/project/ngt,4327.0,4327.0,,,,,,,,,,,,3.0,,,,,,,,,,,
