,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,projectrank_placing,trending,license,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,helm_id,maven_id,maven_url
176,PennyLane,PennyLaneAI/PennyLane,others,,{},225.0,PennyLane is a Python quantum machine learning library by Xanadu Inc.,14,False,pennylane,conda-forge/pennylane,,,,2131.0,2131.0,https://pypi.org/project/pennylane,304694.0,312495.0,https://anaconda.org/conda-forge/pennylane,2021-11-24 17:17:59.313,2025-04-22 14:58:05.852,2025-04-22 14:58:05.852000,436856.0,19.0,,,,,,1.0,,,,,,,,,,,
177,River,online-ml/river,others,,{},147.0,Online machine learning in Python.,14,False,river,conda-forge/river,,,,893.0,893.0,https://pypi.org/project/river,194430.0,197008.0,https://anaconda.org/conda-forge/river,2021-04-19 20:23:28.936,2026-06-01 01:52:46.506,2026-06-01 01:52:46.506000,162474.0,8.0,,,,,,1.0,,,,,,,,,,,
178,kmodes,nicodv/kmodes,others,,{},22.0,Python implementations of the k-modes and k-prototypes clustering algorithms for clustering categorical data.,14,False,kmodes,conda-forge/kmodes,,,,3208.0,3208.0,https://pypi.org/project/kmodes,541452.0,542605.0,https://anaconda.org/conda-forge/kmodes,2020-04-04 05:32:53.353,2025-04-22 14:57:23.933,2025-04-22 14:57:23.933000,86480.0,6.0,,,,,,1.0,,,,,,,,,,,
179,ngboost,stanfordmlgroup/ngboost,ml-frameworks,,{},62.0,Natural Gradient Boosting for Probabilistic Prediction.,13,False,ngboost,conda-forge/ngboost,,,,304.0,304.0,https://pypi.org/project/ngboost,174966.0,176357.0,https://anaconda.org/conda-forge/ngboost,2020-07-18 02:10:27.277,2026-06-26 06:33:29.103,2026-06-26 06:33:29.103000,100216.0,34.0,,,,,,3.0,,,,,,,,,,,
180,textacy,chartbeat-labs/textacy,nlp,,{},35.0,"NLP, before and after spaCy.",13,False,textacy,conda-forge/textacy,,,,2086.0,2086.0,https://pypi.org/project/textacy,96926.0,99682.0,https://anaconda.org/conda-forge/textacy,2017-05-12 21:55:59.675,2025-04-22 14:56:36.813,2025-04-22 14:56:36.813000,303247.0,12.0,,,,,,2.0,,,,,,,,,,,
181,nlpaug,makcedward/nlpaug,nlp,,{},34.0,Natrual language processing data Augmentation library.,13,False,nlpaug,conda-forge/nlpaug,,,,1890.0,1890.0,https://pypi.org/project/nlpaug,174885.0,175770.0,https://anaconda.org/conda-forge/nlpaug,2021-06-28 02:58:38.053,2025-04-22 14:57:56.135,2025-04-22 14:57:56.135000,54030.0,7.0,,,,,,2.0,,,,,,,,,,,
182,spacy-transformers,explosion/spacy-transformers,nlp,,{},24.0,"Use pretrained transformers like BERT, XLNet and GPT-2 in spaCy.",13,False,spacy-transformers,conda-forge/spacy-transformers,,,['spacy'],2417.0,2417.0,https://pypi.org/project/spacy-transformers,262171.0,265415.0,https://anaconda.org/conda-forge/spacy-transformers,2021-11-18 17:41:04.018,2026-03-24 13:10:30.640,2026-03-24 13:10:30.640000,181714.0,22.0,,,,,,2.0,,,,,,,,,,,
183,ag2,ag2ai/ag2,agents,,{},497.0,,13,False,ag2,,,,,955.0,955.0,https://pypi.org/project/ag2,493412.0,493412.0,,,,,,,,,,,,3.0,,,,,,,,,,,
184,haystack,deepset-ai/haystack,agents,,{},404.0,,13,False,haystack-ai,,,,,1751.0,1751.0,https://pypi.org/project/haystack-ai,1039306.0,1039306.0,,,,,,,,,,,,3.0,,,,,,,,,,,
185,agno,agno-agi/agno,agents,,{},522.0,,13,False,agno,,,,,2996.0,2996.0,https://pypi.org/project/agno,2207016.0,2207016.0,,,,,,,,,,,,3.0,,,,,,,,,,,
186,deepface,serengil/deepface,image,,{},98.0,,13,False,deepface,,,,,8708.0,8708.0,https://pypi.org/project/deepface,618782.0,618782.0,,,,,,,,,,,,2.0,,,,,,,,,,,
187,mahotas,luispedro/mahotas,image,,{},35.0,Mahotas: Computer Vision Library.,13,False,mahotas,conda-forge/mahotas,,,,1589.0,1589.0,https://pypi.org/project/mahotas,49760.0,67793.0,https://anaconda.org/conda-forge/mahotas,2020-06-12 13:41:17.109,2025-10-21 21:07:30.102,2025-10-21 21:07:30.102000,1316450.0,14.0,,,,,,2.0,,,,,,,,,,,
188,Face Recognition,ageitgey/face_recognition,image,,{},55.0,Recognize faces from Python or from the command line.,13,False,face_recognition,conda-forge/face_recognition,,,['pytorch'],5663.0,5663.0,https://pypi.org/project/face_recognition,205237.0,205881.0,https://anaconda.org/conda-forge/face_recognition,2020-09-14 16:50:56.246,2025-04-22 14:57:35.730,2025-04-22 14:57:35.730000,45110.0,1.0,,,,,,2.0,,,,,,,,,,,
189,imutils,PyImageSearch/imutils,image,,{},21.0,"A series of convenience functions to make basic image processing functions such as translation, rotation, resizing,..",13,False,imutils,conda-forge/imutils,,,,54238.0,54238.0,https://pypi.org/project/imutils,,4097.0,https://anaconda.org/conda-forge/imutils,2020-07-07 12:49:26.774,2025-04-22 14:57:06.837,2025-04-22 14:57:06.837000,295053.0,3.0,,,,,,2.0,,,,,,,,,,,
190,InsightFace,deepinsight/insightface,image,,{},67.0,,13,False,insightface,,,,['mxnet'],5245.0,5245.0,https://pypi.org/project/insightface,1236090.0,1236090.0,,,,,,,,,,,,2.0,,,,,,,,,,,
191,Plotly-Resampler,predict-idlab/plotly-resampler,data-viz,,{},14.0,Visualizing large time series with plotly.,13,False,plotly-resampler,conda-forge/plotly-resampler,,,,2095.0,2095.0,https://pypi.org/project/plotly-resampler,572120.0,575423.0,https://anaconda.org/conda-forge/plotly-resampler,2022-01-13 19:12:38.352,2025-10-09 21:44:53.402,2025-10-09 21:44:53.402000,178402.0,23.0,,,,,,2.0,,,,,,,,,,,
192,pyvis,WestHealth/pyvis,data-viz,,{},32.0,,13,False,pyvis,,,,,12538.0,12538.0,https://pypi.org/project/pyvis,2217810.0,2217810.0,,,,,,,,,,,,2.0,,,,,,,,,,,
