,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,helm_id,recent_commit_count,updated_github_id,maven_id,maven_url,docs_url,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id
171,PySpark,apache/spark,ml-frameworks,,{},3592.0,Apache Spark Python API.,14,False,pyspark,conda-forge/pyspark,['spark'],,,2020-06-06 07:35:29.643,2026-07-16 15:46:27.659000,,,,,,,,,,,,46624989.0,43.0,,,https://pypi.org/project/pyspark,46558469.0,https://anaconda.org/conda-forge/pyspark,2026-07-16 15:46:27.659,4989001.0,3.0,,,,,,,stable/spark,,,,,,,,,,,
172,Sumy,miso-belica/sumy,nlp,,{},34.0,Module for automatic summarization of text documents and HTML pages.,14,False,sumy,conda-forge/sumy,,,,2021-06-22 09:34:48.682,2025-04-22 14:57:55.728000,,,,,,,,,,,,136877.0,4.0,4357.0,4357.0,https://pypi.org/project/sumy,136594.0,https://anaconda.org/conda-forge/sumy,2025-04-22 14:57:55.728,17832.0,2.0,,,,,,,,,,,,,,,,,,
173,TextDistance,life4/textdistance,nlp,,{},18.0,TextDistance python library for comparing distance between two or more sequences by many algorithms.,14,False,textdistance,conda-forge/textdistance,,,,2020-11-09 13:54:55.292,2025-04-22 14:56:50.409000,,,,,,,,,,,,2224251.0,14.0,8994.0,8994.0,https://pypi.org/project/textdistance,2205647.0,https://anaconda.org/conda-forge/textdistance,2025-04-22 14:56:50.409,1302285.0,2.0,,,,,,,,,,,,,,,,,,
174,autogen,microsoft/autogen,agents,,{},534.0,,14,False,autogen-agentchat,,,,,,,,,,,,,,,,,,722669.0,,4582.0,4582.0,https://pypi.org/project/autogen-agentchat,722669.0,,,,3.0,,,,,,,,,,,,,,,,,,
175,sahi,obss/sahi,image,,{},80.0,A vision library for performing sliced inference on large images/small objects.,14,False,sahi,conda-forge/sahi,,,,2021-10-08 17:03:02.074,2026-08-18 02:17:21.223000,,,,,,,,,,,,203092.0,75.0,1986.0,1986.0,https://pypi.org/project/sahi,200304.0,https://anaconda.org/conda-forge/sahi,2026-08-18 02:17:21.223,164500.0,2.0,,,,,,,,,,,,,,,,,,
176,PaddleOCR,PaddlePaddle/PaddleOCR,ocr,,{},295.0,,14,False,paddleocr,,['paddle'],,,,,,,,,,,,,,,,1707713.0,,7087.0,7087.0,https://pypi.org/project/paddleocr,1707713.0,,,,2.0,,,,,,,,,,,,,,,,,,
177,EasyOCR,JaidedAI/EasyOCR,ocr,,{},129.0,,14,False,easyocr,,,,,,,,,,,,,,,,,,2656759.0,,18227.0,18227.0,https://pypi.org/project/easyocr,2656759.0,,,,2.0,,,,,,,,,,,,,,,,,,
178,datashader,holoviz/datashader,data-viz,,{},65.0,Data visualization toolchain based on aggregating into a grid.,14,False,datashader,conda-forge/datashader,,,,2020-05-25 22:22:03.938,2026-05-19 13:17:28.903000,,,,,,,,,,,,340280.0,33.0,6484.0,6484.0,https://pypi.org/project/datashader,313655.0,https://anaconda.org/conda-forge/datashader,2026-05-19 13:17:28.903,2023573.0,2.0,,,,,,,,,,,,,,,,,,
179,missingno,ResidentMario/missingno,data-viz,,{},18.0,Missing data visualization module for Python.,14,False,missingno,conda-forge/missingno,,,,2024-03-02 01:06:25.066,2025-09-17 20:28:20.219000,,,,,,,,,,,,392813.0,5.0,23641.0,23641.0,https://pypi.org/project/missingno,372979.0,https://anaconda.org/conda-forge/missingno,2025-09-17 20:28:20.219,595035.0,2.0,,,,,,,,,,,,,,,,,,
180,Lime,marcotcr/lime,interpretability,,{},62.0,Explaining the predictions of any machine learning classifier.,14,False,lime,conda-forge/lime,,,,2020-06-28 01:02:39.858,2025-04-22 14:56:30.659000,,,,,,,,,,,,432856.0,11.0,9882.0,9882.0,https://pypi.org/project/lime,427499.0,https://anaconda.org/conda-forge/lime,2025-04-22 14:56:30.659,401829.0,1.0,,,,,,,,,,,,,,,,,,
181,pyLDAvis,bmabey/pyLDAvis,interpretability,,{},42.0,Python library for interactive topic model visualization.,14,False,pyldavis,conda-forge/pyldavis,['jupyter'],,,2021-03-22 07:23:59.104,2025-04-22 14:56:51.622000,,,,,,,,,,,,113602.0,7.0,7511.0,7511.0,https://pypi.org/project/pyldavis,111847.0,https://anaconda.org/conda-forge/pyldavis,2025-04-22 14:56:51.622,115868.0,1.0,,,,,,,,,,,,,,,,,,
182,dtreeviz,parrt/dtreeviz,interpretability,,{},29.0,A python library for decision tree visualization and model interpretation.,14,False,dtreeviz,conda-forge/dtreeviz,,,,2020-11-11 13:07:21.019,2026-07-23 07:45:21.686000,,,,,,,,,,,,61295.0,22.0,1633.0,1633.0,https://pypi.org/project/dtreeviz,59226.0,https://anaconda.org/conda-forge/dtreeviz,2026-07-23 07:45:21.686,144833.0,1.0,,,,,,,,,,,,,,,,,,
183,Captum,pytorch/captum,interpretability,,{},150.0,Model interpretability for PyTorch.,14,False,captum,conda-forge/captum,['pytorch'],,,2021-12-30 19:59:39.750,2026-04-17 07:52:38.995000,,,,,,,,,,,,437499.0,5.0,3762.0,3762.0,https://pypi.org/project/captum,434304.0,https://anaconda.org/conda-forge/captum,2026-04-17 07:52:38.995,182164.0,1.0,,,,,,,,,,,,,,,,,,
184,PySAL,pysal/pysal,geospatial-data,,{},82.0,Library of spatial analysis functions.,14,False,pysal,conda-forge/pysal,,,,2020-07-30 10:24:56.727,2026-08-01 14:34:03.251000,,,,,,,,,,,,117397.0,25.0,1876.0,1876.0,https://pypi.org/project/pysal,102841.0,https://anaconda.org/conda-forge/pysal,2026-08-01 14:34:03.251,1077193.0,3.0,,,,,,,,,,,,,,,,,,
185,Keras Tuner,keras-team/keras-tuner,hyperopt,,{},61.0,Hypertuner for Keras.,14,False,keras-tuner,conda-forge/keras-tuner,['tensorflow'],,,2021-08-02 13:21:10.519,2025-12-30 15:56:03.681000,,,,,,,,,,,,143995.0,16.0,6285.0,6285.0,https://pypi.org/project/keras-tuner,142626.0,https://anaconda.org/conda-forge/keras-tuner,2025-12-30 15:56:03.681,83549.0,2.0,,,,,,,,,,,,,,,,,,
186,Ax,facebook/Ax,hyperopt,,{},218.0,Adaptive Experimentation.,14,False,ax-platform,conda-forge/ax-platform,['pytorch'],,,2021-06-22 17:59:01.165,2026-06-17 01:27:01.329000,,,,,,,,,,,,171872.0,29.0,1342.0,1342.0,https://pypi.org/project/ax-platform,170697.0,https://anaconda.org/conda-forge/ax-platform,2026-06-17 01:27:01.329,74046.0,2.0,,,,,,,,,,,,,,,,,,
187,stable-baselines3,DLR-RM/stable-baselines3,reinforcement-learning,,{},174.0,,14,False,stable-baselines3,,,,,,,,,,,,,,,,,,1020816.0,,10580.0,10580.0,https://pypi.org/project/stable-baselines3,1020816.0,,,,1.0,,,,,,,,,,,,,,,,,,
188,DEAP,deap/deap,distributed-ml,,{},93.0,Distributed Evolutionary Algorithms in Python.,14,False,deap,conda-forge/deap,,,,2020-10-12 23:47:32.551,2026-05-06 22:52:09.525000,,,,,,,,,,,,357283.0,9.0,7103.0,7103.0,https://pypi.org/project/deap,345923.0,https://anaconda.org/conda-forge/deap,2026-05-06 22:52:09.525,806613.0,2.0,,,,,,,,,,,,,,,,,,
