,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,projectrank_placing,license,trending,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
599,vissl,facebookresearch/vissl,image,,{},38.0,,3,False,vissl,,,,['pytorch'],,,https://pypi.org/project/vissl,555.0,555.0,,,,,,,,,,,,3.0,,,,,,,,,,,
600,PySlowFast,facebookresearch/SlowFast,image,,{},39.0,,3,False,pyslowfast,,,,['pytorch'],23.0,23.0,https://pypi.org/project/pyslowfast,20.0,20.0,,,,,,,,,,,,3.0,,,,,,,,,,,
601,DE⫶TR,facebookresearch/detr,image,,{},27.0,,3,False,,,,,['pytorch'],24.0,24.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
602,sklearn-evaluation,edublancas/sklearn-evaluation,interpretability,,{},19.0,,3,False,sklearn-evaluation,,,,['sklearn'],,,https://pypi.org/project/sklearn-evaluation,1701.0,1701.0,,,,,,,,,,,,3.0,,,,,,,,,,,
603,fairness-indicators,tensorflow/fairness-indicators,interpretability,,{},39.0,,3,False,fairness-indicators,,,,"['tensorflow', 'jupyter']",,,https://pypi.org/project/fairness-indicators,1063.0,1063.0,,,,,,,,,,,,3.0,,,,,,,,,,,
604,model-card-toolkit,tensorflow/model-card-toolkit,interpretability,,{},22.0,,3,False,model-card-toolkit,,,,,,,https://pypi.org/project/model-card-toolkit,400.0,400.0,,,,,,,,,,,,3.0,,,,,,,,,,,
605,GraphVite,DeepGraphLearning/graphvite,graph,,{},,A general and high-performance graph embedding system for various applications.,3,False,,milagraph/graphvite,,,,,,,,66.0,https://anaconda.org/milagraph/graphvite,2019-08-05 06:16:49.612,2025-03-25 16:27:49.968,2025-03-25 16:27:49.968000,5594.0,4.0,,,,,,3.0,,,,,,,,,,,
606,graph4nlp,graph4ai/graph4nlp,graph,,{},29.0,,3,False,graph4nlp,,,,['pytorch'],,,https://pypi.org/project/graph4nlp,195.0,195.0,,,,,,,,,,,,3.0,,,,,,,,,,,
607,DIG,divelab/DIG,graph,,{},50.0,,3,False,dig,,,,,,,https://pypi.org/project/dig,562.0,562.0,,,,,,,,,,,,3.0,,,,,,,,,,,
608,opytimizer,gugarosa/opytimizer,hyperopt,,{},4.0,,3,False,opytimizer,,,,,,,https://pypi.org/project/opytimizer,2439.0,2439.0,,,,,,,,,,,,3.0,,,,,,,,,,,
